,Edit-Distance Immediate Similarity Averages,Edit-Distance Full Similarity Averages,Jaccard Index Similarity (Method 1) Averages,Jaccard Index Similarity (Method 2) Averages
0,0.6169365307979048,0.5361616142663621,0.026634495078810664,0.13697270501966508
1,0.5662619537764377,0.5242091623835285,0.017328445552329798,0.03852926658684078
2,0.6066839796518501,0.578599187724936,0.01237925678466665,0.026497942875199583
3,0.6656154146022363,0.5506971986617257,0.04460046432285176,0.08872897519000929
4,0.6358171942339778,0.5283242846245921,0.05019356618064476,0.15799700422175605
5,0.6461300953979466,0.606765967181994,0.019182257097452006,0.41908652922868894
6,0.6358883720589086,0.5755313179571556,0.02787523465557853,0.06203560502397087
7,0.6858619391994678,0.5848230716261292,0.04687018955316919,0.11510397525770358
8,0.5870940491879317,0.510526209271551,0.03152773882092186,0.0645739682577804
9,0.6464817775798598,0.5667624436273498,0.03641524265486079,0.07864065809582343
10,0.6070853708746687,0.5477013730360364,0.023762515458099782,0.055449392689492685
11,0.6359813315098388,0.5639077656037469,0.02579691484582077,0.04566496294351318
12,0.6251438785315551,0.488728612417265,0.07232921155494647,0.2060639714949096
13,0.5564413385132916,0.4831352898545837,0.027400978181011445,0.07573276792429902
14,0.6466786412135949,0.6067310916037658,0.0220135663927802,0.04554426310533822
15,0.6757630894204193,0.602577940652826,0.046640588851454653,0.12637112356091773
16,0.6446443160255432,0.5424787159836314,0.048476463439292065,0.29742382938213374
17,0.62651411908049,0.5493440345522631,0.03627244846471983,0.1452618710979851
18,0.5866813855563434,0.5412639236691558,0.016871646421131075,0.04649820770848919
19,0.6858545480003192,0.6213180220611499,0.03008458238180758,0.07491348027505587
20,0.6452849223962381,0.5758421283445927,0.03164302082686462,0.0722317739665168
21,0.6161093113607421,0.5624994833725244,0.025996636630005777,0.05867433267739668
22,0.6853474324180322,0.6083705553958245,0.041572281586493835,0.0757849172286445
23,0.6455785653223259,0.6009056727741885,0.02300782608119316,0.04880990311178666
24,0.6168245758677146,0.5629990259740467,0.0241440708058715,0.04448833547972904
